Luis_Garavito,350,Colombie
Pedro_Lopez,300,Colombie
Abul_Djabar,300,Afghanistan
Daniel_Camargo_Barbosa,151,Colombie
Pedro_Rodrigues_Filho,100,Brezil
Gary_Ridgway,72,USA
Kampatimar_Shankariya,70,Inde
Yang_Xinhai,67,Chine
Andrei_Chikatilo,53,Russie
Anatoly_Onoprienko,52,Ukraine
